system:time_start,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2000_interpolate,2001_interpolate,2002_interpolate,2003_interpolate,2004_interpolate,2005_interpolate,2006_interpolate,2007_interpolate,2008_interpolate,2009_interpolate,2010_interpolate,2011_interpolate,2012_interpolate,2013_interpolate,2014_interpolate,2015_interpolate,2016_interpolate,2017_interpolate,2018_interpolate,2019_interpolate,2020_interpolate,2021_interpolate,2022_interpolate
01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06,,,,,,0.0306,,,,,0.0406777777777777,,,,,,,,,,,,,,,,,,0.0306,,,,,0.0406777777777777,,,,,,,,,,,,
01-07,,,0.2390444444444444,,0.03485,,,,,,,0.5083555555555556,,,,0.4860166666666666,,0.5165222222222222,,,0.5770333333333333,,,,,0.2390444444444444,,0.03485,,,,,,0.13769722222222214,0.5083555555555556,,,,0.4860166666666666,,0.5165222222222222,,,0.5770333333333333,,
01-08,,,,0.5299555555555555,,,,,0.7301166666666666,,0.2347166666666666,,0.4451,0.4650888888888889,0.5378111111111111,,0.3005555555555556,,,0.5367222222222222,,,0.4129222222222222,,,,0.5299555555555555,0.204925,0.2773611111111111,,,0.7301166666666666,,0.2347166666666666,0.48338333333333333,0.4451,0.4650888888888889,0.5378111111111111,0.4952361111111111,0.3005555555555556,0.5326944444444444,,0.5367222222222222,0.5510555555555555,,0.4129222222222222
01-09,,,,,0.375,0.5241222222222223,0.5317777777777778,,,,,0.4584111111111111,,,,0.5044555555555555,0.3731222222222222,0.5488666666666666,,0.4936666666666666,0.5250777777777778,,,,,0.3915444444444444,0.3738166666666666,0.375,0.5241222222222223,0.5317777777777778,,0.5123972222222222,,0.29440833333333327,0.4584111111111111,0.5086055555555555,0.5104222222222222,0.4550166666666666,0.5044555555555555,0.3731222222222222,0.5488666666666666,,0.4936666666666666,0.5250777777777778,,0.49919444444444444
01-10,,0.3190333333333333,,0.2176777777777777,,,,0.5143777777777778,0.2946777777777777,,,0.4663666666666666,0.5721111111111111,0.5557555555555556,0.3722222222222222,,0.5849888888888889,,,,,0.5582,0.5854666666666667,,0.3190333333333333,0.3915444444444445,0.2176777777777777,0.38181666666666664,0.5208138888888889,0.48401111111111106,0.5143777777777778,0.2946777777777777,,0.4443777777777778,0.4663666666666666,0.5721111111111111,0.5557555555555556,0.3722222222222222,0.5253111111111111,0.5849888888888889,0.5584783333333332,,0.4671666666666666,0.5189722222222222,0.5582,0.5854666666666667
